sl_Без опыта работы,gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,status,salary
1,M,67.00,Прочее,91.00,Прочее,Продажи и маркетинг,58.00,Наука и техника,Без опыта работы,55,Mkt&HR,58.8,Placed,270000
2,M,79.33,Центральный регион,78.33,Прочее,Наука,77.48,Наука и техника,С опытом работы,86.5,Mkt&Жin,66.28,Placed,200000
169,Ж,48.00,Центральный регион,51.00,Центральный регион,Продажи и маркетинг,58.00,Продажи, маркетинг и менеджмент,С опытом работы,60,Mkt&HR,58.79,Без опыта работыt Placed,
170,M,59.96,Прочее,42.16,Прочее,Наука,61.26,Наука и техника,Без опыта работы,54.48,Mkt&HR,65.48,Без опыта работыt Placed,
171,Ж,63.40,Прочее,67.20,Прочее,Продажи и маркетинг,60.00,Продажи, маркетинг и менеджмент,Без опыта работы,58.06,Mkt&HR,69.28,Без опыта работыt Placed,
172,M,80.00,Прочее,80.00,Прочее,Продажи и маркетинг,72.00,Продажи, маркетинг и менеджмент,С опытом работы,63.79,Mkt&Жin,66.04,Placed,290000
173,M,73.00,Прочее,58.00,Прочее,Продажи и маркетинг,56.00,Продажи, маркетинг и менеджмент,Без опыта работы,84,Mkt&HR,52.64,Placed,300000
174,Ж,52.00,Прочее,52.00,Прочее,Наука,55.00,Наука и техника,Без опыта работы,67,Mkt&HR,59.32,Без опыта работыt Placed,
175,M,73.24,Прочее,50.83,Прочее,Наука,64.27,Наука и техника,С опытом работы,64,Mkt&Жin,66.23,Placed,500000
176,M,63.00,Прочее,62.00,Прочее,Наука,65.00,Наука и техника,Без опыта работы,87.5,Mkt&HR,60.69,Без опыта работыt Placed,
177,Ж,59.00,Центральный регион,60.00,Прочее,Продажи и маркетинг,56.00,Продажи, маркетинг и менеджмент,Без опыта работы,55,Mkt&HR,57.9,Placed,220000
178,Ж,73.00,Центральный регион,97.00,Прочее,Продажи и маркетинг,79.00,Продажи, маркетинг и менеджмент,С опытом работы,89,Mkt&Жin,70.81,Placed,650000
179,M,68.00,Прочее,56.00,Прочее,Наука,68.00,Наука и техника,Без опыта работы,73,Mkt&HR,68.07,Placed,350000
180,Ж,77.80,Центральный регион,64.00,Центральный регион,Наука,64.20,Наука и техника,Без опыта работы,75.5,Mkt&HR,72.14,Без опыта работыt Placed,
181,M,65.00,Центральный регион,71.50,Прочее,Продажи и маркетинг,62.80,Продажи, маркетинг и менеджмент,С опытом работы,57,Mkt&Жin,56.6,Placed,265000
182,M,62.00,Центральный регион,60.33,Прочее,Наука,64.21,Наука и техника,Без опыта работы,63,Mkt&HR,60.02,Без опыта работыt Placed,
183,M,52.00,Прочее,65.00,Прочее,Искусство,57.00,Прочее,С опытом работы,75,Mkt&Жin,59.81,Без опыта работыt Placed,
184,M,65.00,Центральный регион,77.00,Центральный регион,Продажи и маркетинг,69.00,Продажи, маркетинг и менеджмент,Без опыта работы,60,Mkt&HR,61.82,Placed,276000
185,Ж,56.28,Прочее,62.83,Прочее,Продажи и маркетинг,59.79,Продажи, маркетинг и менеджмент,Без опыта работы,60,Mkt&HR,57.29,Без опыта работыt Placed,
186,Ж,88.00,Центральный регион,72.00,Центральный регион,Наука,78.00,Прочее,Без опыта работы,82,Mkt&HR,71.43,Placed,252000
187,Ж,52.00,Центральный регион,64.00,Центральный регион,Продажи и маркетинг,61.00,Продажи, маркетинг и менеджмент,Без опыта работы,55,Mkt&Жin,62.93,Без опыта работыt Placed,
188,M,78.50,Центральный регион,65.50,Центральный регион,Наука,67.00,Наука и техника,С опытом работы,95,Mkt&Жin,64.86,Placed,280000
189,M,61.80,Прочее,47.00,Прочее,Продажи и маркетинг,54.38,Продажи, маркетинг и менеджмент,Без опыта работы,57,Mkt&Жin,56.13,Без опыта работыt Placed,
190,Ж,54.00,Центральный регион,77.60,Прочее,Продажи и маркетинг,69.20,Продажи, маркетинг и менеджмент,Без опыта работы,95.65,Mkt&Жin,66.94,Без опыта работыt Placed,
191,Ж,64.00,Прочее,70.20,Центральный регион,Продажи и маркетинг,61.00,Продажи, маркетинг и менеджмент,Без опыта работы,50,Mkt&Жin,62.5,Без опыта работыt Placed,
192,M,67.00,Прочее,61.00,Центральный регион,Наука,72.00,Продажи, маркетинг и менеджмент,Без опыта работы,72,Mkt&Жin,61.01,Placed,264000
193,M,65.20,Центральный регион,61.40,Центральный регион,Продажи и маркетинг,64.80,Продажи, маркетинг и менеджмент,С опытом работы,93.4,Mkt&Жin,57.34,Placed,270000
194,Ж,60.00,Центральный регион,63.00,Центральный регион,Искусство,56.00,Прочее,С опытом работы,80,Mkt&HR,56.63,Placed,300000
195,M,52.00,Прочее,55.00,Прочее,Продажи и маркетинг,56.30,Продажи, маркетинг и менеджмент,Без опыта работы,59,Mkt&Жin,64.74,Без опыта работыt Placed,
196,M,66.00,Центральный регион,76.00,Центральный регион,Продажи и маркетинг,72.00,Продажи, маркетинг и менеджмент,С опытом работы,84,Mkt&HR,58.95,Placed,275000
197,M,72.00,Прочее,63.00,Прочее,Наука,77.50,Наука и техника,С опытом работы,78,Mkt&Жin,54.48,Placed,250000
198,Ж,83.96,Прочее,53.00,Прочее,Наука,91.00,Наука и техника,Без опыта работы,59.32,Mkt&HR,69.71,Placed,260000
199,Ж,67.00,Центральный регион,70.00,Центральный регион,Продажи и маркетинг,65.00,Прочее,Без опыта работы,88,Mkt&HR,71.96,Без опыта работыt Placed,
200,M,69.00,Прочее,65.00,Прочее,Продажи и маркетинг,57.00,Продажи, маркетинг и менеджмент,Без опыта работы,73,Mkt&HR,55.8,Placed,265000
201,M,69.00,Прочее,60.00,Прочее,Продажи и маркетинг,65.00,Продажи, маркетинг и менеджмент,Без опыта работы,87.55,Mkt&Жin,52.81,Placed,300000
202,M,54.20,Центральный регион,63.00,Прочее,Наука,58.00,Продажи, маркетинг и менеджмент,Без опыта работы,79,Mkt&HR,58.44,Без опыта работыt Placed,
203,M,70.00,Центральный регион,63.00,Центральный регион,Наука,66.00,Наука и техника,Без опыта работы,61.28,Mkt&HR,60.11,Placed,240000
204,M,55.68,Прочее,61.33,Прочее,Продажи и маркетинг,56.87,Продажи, маркетинг и менеджмент,Без опыта работы,66,Mkt&HR,58.3,Placed,260000
205,Ж,74.00,Прочее,73.00,Прочее,Продажи и маркетинг,73.00,Продажи, маркетинг и менеджмент,С опытом работы,80,Mkt&Жin,67.69,Placed,210000
206,M,61.00,Прочее,62.00,Прочее,Продажи и маркетинг,65.00,Продажи, маркетинг и менеджмент,Без опыта работы,62,Mkt&Жin,56.81,Placed,250000
207,M,41.00,Центральный регион,42.00,Центральный регион,Наука,60.00,Продажи, маркетинг и менеджмент,Без опыта работы,97,Mkt&Жin,53.39,Без опыта работыt Placed,
208,M,83.33,Центральный регион,78.00,Прочее,Продажи и маркетинг,61.00,Продажи, маркетинг и менеджмент,С опытом работы,88.56,Mkt&Жin,71.55,Placed,300000
209,Ж,43.00,Центральный регион,60.00,Прочее,Наука,65.00,Продажи, маркетинг и менеджмент,Без опыта работы,92.66,Mkt&HR,62.92,Без опыта работыt Placed,
210,M,62.00,Центральный регион,72.00,Центральный регион,Продажи и маркетинг,65.00,Продажи, маркетинг и менеджмент,Без опыта работы,67,Mkt&Жin,56.49,Placed,216000
211,M,80.60,Прочее,82.00,Прочее,Продажи и маркетинг,77.60,Продажи, маркетинг и менеджмент,Без опыта работы,91,Mkt&Жin,74.49,Placed,400000
212,M,58.00,Прочее,60.00,Прочее,Наука,72.00,Наука и техника,Без опыта работы,74,Mkt&Жin,53.62,Placed,275000
213,M,67.00,Прочее,67.00,Прочее,Продажи и маркетинг,73.00,Продажи, маркетинг и менеджмент,С опытом работы,59,Mkt&Жin,69.72,Placed,295000
214,Ж,74.00,Прочее,66.00,Прочее,Продажи и маркетинг,58.00,Продажи, маркетинг и менеджмент,Без опыта работы,70,Mkt&HR,60.23,Placed,204000
215,M,62.00,Центральный регион,58.00,Прочее,Наука,53.00,Продажи, маркетинг и менеджмент,Без опыта работы,89,Mkt&HR,60.22,Без опыта работыt Placed,
